,words,x,y
632,grazes,11.117266,5.784034
633,size,17.964912,4.9239593
634,jeanette,11.990025,0.85289615
635,orb,12.454376,4.0960526
636,siegburg,9.212633,2.7801638
637,urn,14.920414,5.8938127
638,frederika,10.625647,2.7145255
639,american,14.487408,2.9490314
640,walk,15.218293,4.0965357
641,seaburne,10.4648905,3.43157
642,greengrocer,14.0007715,6.954224
643,étagère,16.581497,3.2019584
644,artichokes,14.529049,7.136895
645,destampes,16.813599,3.50519
646,herod,15.182968,0.8268925
647,leather,14.19439,4.615341
648,director,16.755907,1.8137006
649,medicine,15.778708,3.6785417
650,maastricht,9.036292,2.8288841
651,bergh,12.273373,3.078487
652,cornellan,12.295161,3.1059608
653,hereditary,17.138397,4.2735825
654,cannons,13.930824,5.482687
655,board,15.866487,3.5375128
656,family,15.507455,1.2045231
657,textiles,15.057685,4.9238567
658,lodewijk,9.4426775,2.8521037
659,nova,15.270894,3.3378868
660,noord,14.730498,-0.596765
661,gown,14.825589,1.4141111
662,adriaensz,10.366453,2.2648818
663,s,17.500385,3.8496206
664,asselijn,15.567857,2.7364216
665,margriet,14.313376,7.8006845
666,swampy,10.987085,4.7760077
667,bathes,15.945281,5.949959
668,comforting,15.115738,4.8311
669,ganges,15.506163,5.5701137
670,bream,13.757994,3.714199
671,couples,15.4917145,1.657084
672,rappard,16.976536,1.7659684
673,pitchers,15.374711,1.2542682
674,government,14.937047,2.2912035
675,circumcision,13.973827,0.9666438
676,milk,14.976855,5.7174454
677,dhonneur,14.866538,2.664394
678,gorge,10.907718,4.083496
679,pair,15.331245,1.7297295
680,nautilus,13.142951,6.0285234
681,beer,14.9796505,5.750899
682,racehorse,11.601852,6.80348
683,secretary,16.806545,2.3717852
684,schuster,12.895047,2.387936
685,waffle,14.791812,6.4209
686,wears,16.922031,4.5679235
687,witers,14.520908,4.589285
688,excited,14.566059,2.0074801
689,act,16.711742,1.8338375
690,member,16.931866,2.0099285
691,mouse,12.886113,6.458089
692,barrels,14.716681,5.8079357
693,dresden,9.127625,2.7979991
694,mills,11.806255,3.779201
695,cool,16.684517,4.8570757
696,assume,14.355614,2.2354221
697,hats,13.751882,4.2616262
698,waag,15.507419,3.8700004
699,floating,10.532574,4.856714
700,prophet,13.672152,0.502693
701,bassano,17.256159,2.3676915
702,haarlemse,10.210889,2.9750051
703,straight,16.708551,3.6276472
704,trading,16.442696,3.5499582
705,italian,10.379679,2.6540723
706,henriette,12.138466,0.7819311
707,aga,13.891615,7.211302
708,jar,14.889536,5.7372637
709,sheared,13.186058,3.313147
710,lure,12.802471,5.2309117
711,protestant,16.855808,1.9164735
712,ploetz,13.829636,3.4031863
713,round,17.593298,4.033124
714,canal,10.761781,4.3953967
715,smooth,16.52752,4.903266
716,baanbrugsteeg,9.609921,5.0132656
717,reception,15.696365,5.424707
718,clambering,14.580154,3.8715677
719,vice,13.190151,2.1873736
720,pineapple,14.424215,7.0283804
721,joannes,11.7400675,0.98794043
722,living,15.697262,5.466182
723,rotterdam,8.809678,2.8916388
724,prinsenhof,10.916516,0.512343
725,michael,12.458493,1.7531486
726,warin,17.67383,5.391704
727,decorated,16.522875,4.246233
728,turnips,14.45482,6.8973227
729,sausages,14.437476,6.35386
730,leaning,14.387841,3.9911704
731,schnetzler,12.99701,2.3302076
732,smoothly,16.503141,4.9428353
733,burner,16.678587,5.1442075
734,dessus,17.690895,5.1618333
735,other,16.253925,3.7131782
736,professor,16.74492,2.0668075
737,doors,11.936079,4.9442387
738,subcontractors,15.469729,1.2332302
739,more,15.415866,3.414659
740,bonnet,13.725038,4.330299
741,person,14.319075,0.90803933
742,caption,18.153248,4.425072
743,lapwing,16.365574,4.617027
744,guitar,17.223598,2.3970115
745,feast,15.592029,6.3677173
746,according,15.559508,2.0642617
747,inside,16.292164,6.520774
748,lie,13.39379,4.7015724
749,monk,13.219817,1.1796616
750,carrying,15.729539,4.78166
751,pieces,16.35104,3.8643367
752,store,16.304317,3.3382704
753,crowned,12.927618,1.334427
754,louisa,12.264671,0.9826605
755,knots,13.455025,4.8897333
756,rat,13.588198,3.8680398
757,horsemen,11.601581,6.789101
758,meanwhile,15.535597,3.1136887
759,rijksdorp,10.985787,3.5383852
760,talks,15.012459,3.249494
761,duck,12.4661665,7.342128
762,army,14.83513,0.6093496
763,volckert,12.868059,2.2636945
764,lieutenant,13.400361,1.5005473
765,rush,14.019547,2.9698524
766,mystic,15.317115,3.4917133
767,camels,12.099929,6.580055
768,official,16.11219,3.1189163
769,precious,14.602786,3.9797053
770,cannonneer,13.922941,5.3521175
771,elephant,12.529953,6.58766
772,mercy,11.25464,3.8836744
773,librarian,16.510841,2.5817375
774,poland,9.29691,2.812959
775,try,17.964106,4.5617313
776,embark,10.789195,4.7796717
777,consul,13.856745,1.90006
778,vetter,13.254506,5.3705053
779,icescape,16.104763,6.1910233
780,banner,17.41461,3.3961403
781,ardennes,10.255053,2.6621804
782,wild,12.764526,4.0654845
783,willows,13.924201,7.0977793
784,turns,12.228816,4.9626403
785,sheep,12.164867,6.3846416
786,sodom,15.01746,5.838837
787,klerk,13.689135,0.413006
788,amstel,12.148509,2.4008482
789,formation,16.364695,3.405973
790,gives,15.679402,3.2306638
791,co.,14.838837,2.7282236
792,face,14.362352,1.6537696
793,construction,17.337177,4.669588
794,eendracht,14.397882,2.779014
795,photos,17.804174,4.0221615
796,touch,13.851711,2.7679873
797,vlissingen,10.134146,3.0085704
798,created,17.073643,3.6797562
799,pigeons,12.587825,7.4990973
800,whalers,14.107271,1.3078536
801,santa,12.499296,6.786726
802,partridges,12.565949,7.4077764
803,again,14.412077,2.4825983
804,frieze,15.660433,5.423647
805,clergyman,13.765196,0.33437264
806,borrowed,14.834561,3.0390482
807,sur,10.694776,4.4268746
808,management,15.357906,2.3556843
809,girls,12.813458,0.5878987
810,aarnout,16.937197,4.7103896
811,dying,14.313228,2.9803917
812,orders,17.501537,4.6060934
813,floral,14.464863,7.9314103
814,cows,12.080795,6.5461383
815,david,12.7217865,2.513118
816,celestial,16.54226,5.0861006
817,putto,12.226333,4.135692
818,florisz,14.44573,7.8637586
819,abandoned,12.276676,4.76335
820,prepared,15.632498,6.09445
821,walls,15.81752,4.5438633
822,bolts,14.222602,5.4876676
823,scots,10.661068,2.9597921
824,cards,16.407543,3.9420402
825,putting,12.606114,4.1916456
826,kythnos,12.049188,2.2578666
827,food,15.552424,6.4155693
828,england,10.043367,3.016609
829,inheritance,13.937465,1.8447667
830,sides,14.04379,5.300001
831,cochin,10.635501,2.4176369
832,hatch,13.127231,3.1303883
833,istanbul,10.3001795,2.4895074
834,coster,10.506364,4.318193
835,meal,15.641415,6.3462
836,once,14.005934,2.4968421
837,elijah,12.30826,2.242862
838,brahe,12.912006,3.8669763
